"0100 1001"  	"73	"   "49"	      "I  "    ""
"0100 1010"  	"74	"   "4A"	      "J  "    ""
"0100 1011"  	"75	"   "4B"	      "K  "    ""
"0100 1100"  	"76	"   "4C"	      "L  "    ""
"0100 1101"  	"77	"   "4D"	      "M  "    ""
"0100 1110"  	"78	"   "4E"	      "N  "    ""
"0100 1111"  	"79	"   "4F"	      "O  "    ""
"0101 0000"  	"80	"   "50"	      "P  "    ""
"0101 0001"  	"81	"   "51"	      "Q  "    ""
"0101 0010"  	"82	"   "52"	      "R  "    ""
"0101 0011"  	"83	"   "53"	      "S  "    ""
"0101 0100"  	"84	"   "54"	      "T  "    ""
"0101 0101"  	"85	"   "55"	      "U  "    ""
"0101 0110"  	"86	"   "56"	      "V  "    ""
"0101 0111"  	"87	"   "57"	      "W  "    ""
"0101 1000"  	"88	"   "58"	      "X  "    ""
"0101 1001"  	"89	"   "59"	      "Y  "    ""
"0101 1010"  	"90	"   "5A"	      "Z  "    ""
"0101 1011"  	"91	"   "5B"	      "[  "    ""
"0101 1100"  	"92	"   "5C"	      "\  "    ""
"0101 1101"  	"93	"   "5D"	      "]  "    ""
"0101 1110"  	"94	"   "5E"	      "^  "    ""
"0101 1111"  	"95	"   "5F"	      "_  "    ""
"0110 0000"  	"96	"   "60"	      "`  "    ""
"0110 0001"  	"97	"   "61"	      "a  "    ""
"0110 0010"  	"98	"   "62"	      "b  "    ""
"0110 0011"  	"99	"   "63"	      "c  "    ""
"0110 0100"  	"100"   "64"      	  "d  "    ""
"0110 0101"  	"101"   "65"      	  "e  "    ""
"0110 0110"  	"102"   "66"      	  "f  "    ""
"0110 0111"  	"103"   "67"      	  "g  "    ""
"0110 1000"  	"104"   "68"      	  "h  "    ""
"0110 1001"  	"105"   "69"      	  "i  "    ""
"0110 1010"  	"106"   "6A"      	  "j  "    ""
"0110 1011"  	"107"   "6B"      	  "k  "    ""
"0110 1100"  	"108"   "6C"      	  "l  "    ""
"0110 1101"  	"109"   "6D"      	  "m  "    ""
"0110 1110"  	"110"   "6E"      	  "n  "    ""
"0110 1111"  	"111"   "6F"      	  "o  "    ""
"0111 0000"  	"112"   "70"      	  "p  "    ""
"0111 0001"  	"113"   "71"      	  "q  "    ""
"0111 0010"  	"114"   "72"      	  "r  "    ""
"0111 0011"  	"115"   "73"      	  "s  "    ""
"0111 0100"  	"116"   "74"      	  "t  "    ""
"0111 0101"  	"117"   "75"      	  "u  "    ""
"0111 0110"  	"118"   "76"      	  "v  "    ""
"0111 0111"  	"119"   "77"      	  "w  "    ""
"0111 1000"  	"120"   "78"      	  "x  "    ""
"0111 1001"  	"121"   "79"      	  "y  "    ""
"0111 1010"  	"122"   "7A"      	  "z  "    ""
"0111 1011"  	"123"   "7B"      	  "{  "    ""
"0111 1100"  	"124"   "7C"      	  "|  "    ""
"0111 1101"  	"125"   "7D"      	  "}  "    ""
"0111 1110"  	"126"   "7E"      	  "~  "    ""
"0111 1111"  	"127"   "7F"      	  "DEL"    "删除"
